127.0.0.1 - - [21/Sep/2023:19:44:19 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [21/Sep/2023:19:59:20 +0900] "GET /semi01 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [21/Sep/2023:19:59:25 +0900] "GET /semi01/ HTTP/1.1" 200 61709
0:0:0:0:0:0:0:1 - - [21/Sep/2023:19:59:28 +0900] "GET /semi01/login.ur HTTP/1.1" 200 4559
0:0:0:0:0:0:0:1 - - [21/Sep/2023:19:59:30 +0900] "GET /semi01/findPwd.ur HTTP/1.1" 200 12054
0:0:0:0:0:0:0:1 - - [21/Sep/2023:19:59:30 +0900] "GET /semi01/resource/%EC%9D%B4%EB%AF%B8%EC%A7%80%EC%9E%90%EB%A3%8C/%EB%8B%AC%EB%A0%A52.PNG HTTP/1.1" 200 3922
0:0:0:0:0:0:0:1 - - [21/Sep/2023:19:59:30 +0900] "GET /semi01/resource/%EC%9D%B4%EB%AF%B8%EC%A7%80%EC%9E%90%EB%A3%8C/%EB%B0%B0%EB%84%882.png HTTP/1.1" 200 33976
0:0:0:0:0:0:0:1 - - [21/Sep/2023:19:59:48 +0900] "GET /semi01/findId.ur HTTP/1.1" 200 11933
0:0:0:0:0:0:0:1 - - [21/Sep/2023:20:00:00 +0900] "GET /semi01 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [21/Sep/2023:20:00:02 +0900] "GET /semi01 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [21/Sep/2023:20:00:05 +0900] "GET /semi01/ HTTP/1.1" 200 8206
0:0:0:0:0:0:0:1 - - [21/Sep/2023:20:00:07 +0900] "GET /semi01/ HTTP/1.1" 200 61709
0:0:0:0:0:0:0:1 - - [21/Sep/2023:20:00:16 +0900] "GET /semi01/cmain.pr?ctype=%EC%98%81%ED%99%94 HTTP/1.1" 200 52331
0:0:0:0:0:0:0:1 - - [21/Sep/2023:20:00:16 +0900] "GET /semi01/resource/%EB%B0%B0%EB%84%88/%EB%B0%B0%EB%84%88_%EB%A1%9C%EB%A9%98%EC%8A%A4%EC%98%81%ED%99%94_%EC%95%8C%EB%9D%BC%EB%94%98.png HTTP/1.1" 304 -
